Subject,Time point,Reference,Dice,Jaccard,PPV,TPR,LFPR,LTPR,VD,SD,Manual Volume,Segmentation Volume
test01,1,1,0.7914,0.6548,0.8916,0.7114,0.2152,0.6986,0.2021,0.8467,12450,9934
test01,2,1,0.7964,0.6616,0.8789,0.728,0.3455,0.7692,0.1718,1.0199,12079,10004
test01,3,1,0.7822,0.6422,0.8683,0.7116,0.3173,0.7073,0.1805,0.9175,11580,9490
test01,4,1,0.7661,0.6208,0.9003,0.6667,0.2556,0.72,0.2595,1.0309,13209,9781
test01,1,2,0.6817,0.5172,0.9575,0.5293,0.0253,0.4685,0.4472,1.4297,17971,9934
test01,2,2,0.8155,0.6885,0.9163,0.7347,0.1364,0.5532,0.1983,1.146,12478,10004
test01,3,2,0.7719,0.6285,0.9182,0.6658,0.0769,0.48,0.2749,1.2979,13088,9490
test01,4,2,0.8115,0.6827,0.8411,0.7838,0.1556,0.5462,0.0681,1.2786,10496,9781
test02,1,1,0.7455,0.5942,0.6327,0.9071,0.3782,0.9375,0.4336,0.929,22645,32465
test02,2,1,0.7986,0.6647,0.697,0.9348,0.4816,0.9434,0.3413,1.0054,23152,31053
test02,3,1,0.7964,0.6617,0.6943,0.9338,0.4894,0.9533,0.3449,0.9416,21864,29405
test02,4,1,0.8155,0.6885,0.7282,0.9267,0.4879,0.9658,0.2726,0.9266,23122,29425
test02,5,1,0.8097,0.6803,0.7316,0.9064,0.4713,0.9036,0.2389,0.994,22808,28257
test02,1,2,0.7317,0.5769,0.9448,0.597,0.1244,0.545,0.3681,1.0902,51376,32465
test02,2,2,0.7833,0.6438,0.9257,0.6789,0.1061,0.4398,0.2666,0.9581,42341,31053
test02,3,2,0.7644,0.6186,0.9233,0.6521,0.0936,0.5016,0.2937,1.0056,41631,29405
test02,4,2,0.7488,0.5984,0.9451,0.62,0.0766,0.454,0.344,1.1733,44856,29425
test02,5,2,0.6812,0.5166,0.9748,0.5235,0.0902,0.4074,0.4629,1.2775,52614,28257
test03,1,1,0.6193,0.4486,0.8847,0.4764,0.1951,0.6389,0.4615,2.6556,11146,6002
test03,2,1,0.6321,0.4621,0.9226,0.4807,0.2444,0.7,0.479,2.3761,12180,6346
test03,3,1,0.5948,0.4233,0.9125,0.4412,0.3898,0.6562,0.5165,2.5145,12291,5943
test03,4,1,0.663,0.4959,0.9034,0.5236,0.4821,0.5667,0.4204,2.6314,10435,6048
test03,1,2,0.5676,0.3963,0.9723,0.4008,0.0732,0.5238,0.5878,2.0846,14560,6002
test03,2,2,0.6096,0.4384,0.9633,0.4459,0.1111,0.6216,0.5371,1.6954,13710,6346
test03,3,2,0.7027,0.5417,0.9435,0.5599,0.2034,0.5273,0.4066,1.5314,10015,5943
test03,4,2,0.6715,0.5055,0.9568,0.5173,0.2321,0.459,0.4594,1.8624,11187,6048
test04,1,1,0.863,0.759,0.8562,0.87,0.3061,0.9167,0.0161,0.4666,8491,8628
test04,2,1,0.8381,0.7213,0.7947,0.8865,0.4762,0.8276,0.1155,0.6319,8728,9736
test04,3,1,0.835,0.7167,0.7794,0.8991,0.4048,0.8966,0.1536,0.4932,8546,9859
test04,4,1,0.8259,0.7034,0.7838,0.8728,0.35,0.8485,0.1136,0.5323,8921,9934
test04,1,2,0.6933,0.5306,0.9587,0.543,0.1224,0.25,0.4336,2.8193,15234,8628
test04,2,2,0.6952,0.5328,0.9547,0.5466,0.3095,0.4419,0.4275,1.8331,17006,9736
test04,3,2,0.715,0.5564,0.9725,0.5653,0.2381,0.4815,0.4187,1.6929,16960,9859
test04,4,2,0.7824,0.6425,0.9723,0.6545,0.225,0.3538,0.3269,0.845,14758,9934
test05,1,1,0.6375,0.4678,0.5518,0.7546,0.4146,0.6667,0.3674,4.9644,1263,1727
test05,2,1,0.687,0.5233,0.7505,0.6335,0.4384,0.7551,0.1559,2.5113,2450,2068
test05,3,1,0.6821,0.5176,0.6681,0.6968,0.487,0.8615,0.043,2.0888,4047,4221
test05,4,1,0.7175,0.5594,0.7456,0.6914,0.4302,0.8393,0.0728,2.6892,2845,2638
test05,1,2,0.4609,0.2995,0.868,0.3138,0.0488,0.4737,0.6385,5.8266,4777,1727
test05,2,2,0.4722,0.309,0.8878,0.3216,0.2329,0.5,0.6378,5.336,5709,2068
test05,3,2,0.5308,0.3613,0.8669,0.3825,0.1565,0.5182,0.5587,2.2931,9566,4221
test05,4,2,0.5727,0.4012,0.9049,0.4189,0.1628,0.4565,0.537,4.9201,5698,2638
test06,1,1,0.7964,0.6617,0.7761,0.8178,0.6,0.8824,0.0538,0.8717,15543,16379
test06,2,1,0.7968,0.6622,0.7629,0.8339,0.5581,0.7857,0.0931,1.0413,17839,19500
test06,3,1,0.7967,0.6621,0.7606,0.8364,0.5455,0.7097,0.0997,1.0823,18847,20726
test06,4,1,0.7353,0.5814,0.6112,0.9226,0.6029,1,0.5095,1.2073,13742,20743
test06,1,2,0.7917,0.6552,0.8093,0.7748,0.3882,0.5067,0.0426,1.0587,17108,16379
test06,2,2,0.7371,0.5837,0.9419,0.6054,0.3488,0.2955,0.3572,1.1638,30338,19500
test06,3,2,0.6757,0.5102,0.9609,0.521,0.2955,0.25,0.4577,1.6071,38221,20726
test06,4,2,0.7939,0.6583,0.8909,0.716,0.1324,0.4625,0.1964,0.9854,25811,20743
test07,1,1,0.3819,0.236,0.5218,0.3012,0.4286,0.8333,0.4227,6.0515,3061,1767
test07,2,1,0.5105,0.3427,0.8411,0.3664,0.2857,1,0.5643,2.0116,3062,1334
test07,3,1,0.5808,0.4092,0.8596,0.4385,0.2903,0.9333,0.4898,2.0819,3001,1531
test07,4,1,0.4233,0.2685,0.3345,0.5762,0.4167,1,0.7226,7.5145,2938,5061
test07,1,2,0.2533,0.145,0.8251,0.1496,0.5714,0.4091,0.8187,6.2919,9746,1767
test07,2,2,0.3395,0.2044,0.7136,0.2227,0.3214,0.4595,0.688,7.7582,4275,1334
test07,3,2,0.5498,0.3791,0.772,0.4269,0.2903,0.5,0.4471,6.8257,2769,1531
test07,4,2,0.4884,0.3231,0.9194,0.3325,0.3056,0.5405,0.6383,3.6429,13992,5061
