Subject,Time point,Reference,Dice,Jaccard,PPV,TPR,LFPR,LTPR,VD,SD,Manual Volume,Segmentation Volume
test01,1,1,0.5666,0.3953,0.9601,0.4019,0.1667,0.5616,0.5814,1.5375,12450,5212
test01,2,1,0.6532,0.485,0.9408,0.5002,0.2566,0.7051,0.4683,1.2507,12079,6422
test01,3,1,0.6096,0.4384,0.9437,0.4502,0.19,0.6707,0.523,1.4482,11580,5524
test01,4,1,0.6037,0.4324,0.945,0.4436,0.1881,0.64,0.5306,1.3247,13209,6200
test01,1,2,0.4355,0.2784,0.9685,0.2809,0.0476,0.4054,0.71,2.5319,17971,5212
test01,2,2,0.6511,0.4827,0.9581,0.4931,0.1062,0.4681,0.4853,1.843,12478,6422
test01,3,2,0.575,0.4035,0.9687,0.4088,0.08,0.4,0.5779,2.2713,13088,5524
test01,4,2,0.6799,0.5151,0.9155,0.5408,0.099,0.4923,0.4093,1.6965,10496,6200
test02,1,1,0.7121,0.5529,0.7741,0.6593,0.2881,0.6806,0.1484,1.0812,22645,19285
test02,2,1,0.7704,0.6266,0.796,0.7464,0.3716,0.8491,0.0623,0.8815,23152,21710
test02,3,1,0.7594,0.6121,0.7988,0.7236,0.3493,0.7867,0.0942,0.873,21864,19805
test02,4,1,0.7483,0.5978,0.8487,0.6691,0.2889,0.8288,0.2116,0.9432,23122,18230
test02,5,1,0.7632,0.6171,0.8409,0.6987,0.3473,0.7771,0.169,0.9686,22808,18953
test02,1,2,0.5348,0.365,0.9797,0.3677,0.0565,0.328,0.6246,2.5648,51376,19285
test02,2,2,0.6488,0.4802,0.9571,0.4907,0.0881,0.3586,0.4873,1.9867,42341,21710
test02,3,2,0.6192,0.4484,0.9604,0.4569,0.0699,0.3738,0.5243,2.302,41631,19805
test02,4,2,0.5614,0.3902,0.9714,0.3948,0.0933,0.319,0.5936,2.9628,44856,18230
test02,5,2,0.5249,0.3559,0.9911,0.357,0.0687,0.3117,0.6398,2.7651,52614,18953
test03,1,1,0.3401,0.2049,0.9862,0.2055,0.1154,0.4167,0.7917,5.5952,11146,2322
test03,2,1,0.4136,0.2608,0.9846,0.2618,0.069,0.4,0.7341,4.892,12180,3239
test03,3,1,0.4363,0.279,0.9782,0.2808,0.2368,0.5312,0.713,4.329,12291,3528
test03,4,1,0.484,0.3193,0.9664,0.3229,0.3243,0.4,0.6659,4.7029,10435,3486
test03,1,2,0.2748,0.1593,0.9991,0.1593,0,0.3095,0.8405,5.418,14560,2322
test03,2,2,0.381,0.2353,0.9969,0.2355,0.0345,0.3784,0.7637,4.0567,13710,3239
test03,3,2,0.5167,0.3484,0.9918,0.3494,0.0263,0.4,0.6477,3.0204,10015,3528
test03,4,2,0.4724,0.3093,0.9943,0.3098,0.027,0.3607,0.6884,3.8603,11187,3486
test04,1,1,0.8062,0.6754,0.9398,0.7059,0.3023,0.7222,0.2489,1.1302,8491,6378
test04,2,1,0.7884,0.6508,0.9203,0.6896,0.2963,0.5172,0.2507,1.6834,8728,6540
test04,3,1,0.801,0.6681,0.8918,0.727,0.2353,0.6552,0.1848,1.1423,8546,6967
test04,4,1,0.7931,0.6571,0.8958,0.7115,0.2857,0.5455,0.2058,1.2511,8921,7085
test04,1,2,0.5802,0.4087,0.9831,0.4116,0.1163,0.225,0.5813,3.9633,15234,6378
test04,2,2,0.5492,0.3786,0.9887,0.3802,0.1481,0.3023,0.6154,3.5395,17006,6540
test04,3,2,0.5796,0.4081,0.9953,0.4088,0.0588,0.3519,0.5892,3.0242,16960,6967
test04,4,2,0.6445,0.4755,0.9935,0.477,0.0357,0.3077,0.5199,1.9813,14758,7085
test05,1,1,0.5896,0.4181,0.8677,0.4466,0.2,0.4444,0.4854,2.8426,1263,650
test05,2,1,0.501,0.3343,0.907,0.3461,0.2273,0.6531,0.6184,4.3577,2450,935
test05,3,1,0.5109,0.3431,0.8194,0.3711,0.3816,0.7231,0.5471,3.769,4047,1833
test05,4,1,0.5717,0.4003,0.9095,0.4169,0.3036,0.6786,0.5417,3.3247,2845,1304
test05,1,2,0.2329,0.1318,0.9723,0.1323,0.05,0.2368,0.8639,12.5495,4777,650
test05,2,2,0.2803,0.163,0.9957,0.1631,0.0455,0.3824,0.8362,10.7835,5709,935
test05,3,2,0.3149,0.1869,0.9793,0.1876,0.0789,0.3796,0.8084,5.9465,9566,1833
test05,4,2,0.3665,0.2243,0.9839,0.2252,0.0357,0.3406,0.7711,8.2041,5698,1304
test06,1,1,0.597,0.4255,0.9162,0.4427,0.3125,0.7647,0.5168,2.1063,15543,7510
test06,2,1,0.6129,0.4419,0.9167,0.4603,0.275,0.6071,0.4978,2.475,17839,8958
test06,3,1,0.6949,0.5324,0.8972,0.567,0.1522,0.6774,0.368,1.6557,18847,11912
test06,4,1,0.7599,0.6128,0.7574,0.7624,0.4507,0.8485,0.0065,1.0724,13742,13832
test06,1,2,0.5689,0.3975,0.9324,0.4093,0.1625,0.36,0.561,2.6259,17108,7510
test06,2,2,0.4488,0.2893,0.9844,0.2907,0.075,0.2045,0.7047,3.4161,30338,8958
test06,3,2,0.4733,0.31,0.9959,0.3104,0.0435,0.2143,0.6883,3.5432,38221,11912
test06,4,2,0.6588,0.4912,0.944,0.5059,0.0986,0.35,0.4641,2.3258,25811,13832
test07,1,1,0.0891,0.0466,0.8324,0.047,0.5455,0.4167,0.9435,15.6302,3061,173
test07,2,1,0.1191,0.0633,0.9848,0.0634,0.2,0.5333,0.9357,14.9472,3062,197
test07,3,1,0.2664,0.1537,0.9376,0.1553,0.25,0.9333,0.8344,9.4513,3001,497
test07,4,1,0.3528,0.2142,0.7386,0.2318,0.3448,0.8667,0.6862,6.2052,2938,922
test07,1,2,0.0329,0.0167,0.9422,0.0167,0.2727,0.3182,0.9822,11.9903,9746,173
test07,2,2,0.0868,0.0453,0.9848,0.0454,0.2,0.1892,0.9539,20.2632,4275,197
test07,3,2,0.2927,0.1714,0.9618,0.1726,0.125,0.4688,0.8205,10.9711,2769,497
test07,4,2,0.1216,0.0648,0.9837,0.0648,0.069,0.4595,0.9341,10.5937,13992,922
test08,1,1,0.1515,0.0819,0.9913,0.082,0,0.1176,0.9173,48.8175,2768,229
test08,2,1,0.2399,0.1363,0.9497,0.1373,0.2,0.5789,0.8554,15.4713,2615,378
test08,3,1,0.2578,0.148,0.9362,0.1495,0.2941,0.6471,0.8403,12.0353,2749,439
test08,4,1,0.2934,0.1719,0.859,0.1769,0.3333,0.6471,0.794,12.8058,2617,539
test08,1,2,0.1487,0.0803,1,0.0803,0,0.15,0.9197,43.3282,2852,229
test08,2,2,0.2653,0.1529,0.9524,0.1541,0.2,0.2857,0.8382,19.8351,2336,378
test08,3,2,0.2733,0.1583,0.9476,0.1597,0.2353,0.303,0.8315,7.003,2605,439
test08,4,2,0.3336,0.2002,0.8924,0.2051,0.2222,0.4,0.7701,8.3831,2345,539
test09,1,1,0.6893,0.5259,0.9334,0.5465,0.2805,0.5714,0.4145,1.1126,34094,19961
test09,2,1,0.6743,0.5087,0.9481,0.5233,0.1067,0.5,0.4481,1.2994,30000,16558
test09,3,1,0.6983,0.5364,0.954,0.5507,0.2381,0.6935,0.4228,0.9768,30553,17636
test09,4,1,0.7229,0.5661,0.9446,0.5856,0.1868,0.6833,0.3801,1.0413,29643,18377
test09,1,2,0.5386,0.3685,0.986,0.3705,0.061,0.3297,0.6243,2.5542,53129,19961
test09,2,2,0.5151,0.3469,0.991,0.348,0.0533,0.2574,0.6488,2.8434,47153,16558
test09,3,2,0.6021,0.4307,0.9862,0.4333,0.0667,0.2897,0.5607,2.3827,40143,17636
test09,4,2,0.5708,0.3994,0.9922,0.4007,0.0659,0.1325,0.5962,2.5154,45506,18377
test10,1,1,0.4733,0.31,0.9033,0.3207,0.225,0.4886,0.645,2.4228,15763,5596
test10,2,1,0.6811,0.5164,0.8826,0.5545,0.2414,0.6667,0.3717,1.3648,18223,11449
test10,3,1,0.7532,0.6041,0.765,0.7418,0.465,0.8172,0.0304,0.9061,16016,15529
test10,4,1,0.7485,0.5981,0.7924,0.7091,0.4937,0.7976,0.1051,1.0202,17352,15528
test10,5,1,0.7882,0.6504,0.7984,0.7782,0.4729,0.8272,0.0253,0.725,17978,17523
test10,6,1,0.7328,0.5783,0.8528,0.6424,0.3431,0.8171,0.2468,0.811,18783,14148
test10,1,2,0.2212,0.1244,0.9825,0.1246,0.0833,0.184,0.8731,6.9467,44111,5596
test10,2,2,0.5845,0.4129,0.9637,0.4195,0.0517,0.4113,0.5647,2.3019,26302,11449
test10,3,2,0.5726,0.4011,0.98,0.4045,0.0191,0.2827,0.5873,2.7183,37626,15529
test10,4,2,0.5555,0.3846,0.9871,0.3865,0.0127,0.3148,0.6084,2.8575,39654,15528
test10,5,2,0.6221,0.4515,0.9719,0.4575,0.0465,0.2757,0.5293,2.448,37224,17523
test10,6,2,0.5687,0.3973,0.9691,0.4024,0,0.3,0.5847,2.5916,34070,14148
test11,1,1,0.4329,0.2762,0.9761,0.2781,0.0769,0.4167,0.7151,4.1411,9090,2590
test11,2,1,0.4771,0.3133,0.9941,0.3139,0,0.4062,0.6842,3.4731,10153,3206
test11,3,1,0.5394,0.3693,0.9952,0.3699,0.075,0.6471,0.6283,2.6716,9607,3571
test11,4,1,0.4491,0.2896,0.9851,0.2908,0.1818,0.5,0.7048,3.1879,9101,2687
test11,5,1,0.5187,0.3502,0.9919,0.3512,0.0682,0.6452,0.646,2.7904,9448,3345
test11,1,2,0.2763,0.1603,0.9942,0.1604,0.0385,0.2045,0.8386,5.2202,16052,2590
test11,2,2,0.3207,0.191,0.9978,0.191,0,0.1818,0.8086,4.3758,16746,3206
test11,3,2,0.3754,0.2311,0.9933,0.2314,0,0.1293,0.767,3.6292,15326,3571
test11,4,2,0.3257,0.1945,0.9888,0.195,0.0909,0.0938,0.8028,4.0893,13628,2687
test11,5,2,0.3609,0.2202,0.9949,0.2205,0,0.0902,0.7784,3.6512,15096,3345
test12,1,1,0.5685,0.3971,0.948,0.406,0.2388,0.5714,0.5718,2.1047,15400,6595
test12,2,1,0.6373,0.4677,0.9292,0.4849,0.2588,0.6984,0.4781,1.3484,15678,8182
test12,3,1,0.6666,0.5,0.9327,0.5187,0.3267,0.7581,0.4439,1.4243,16083,8944
test12,4,1,0.6866,0.5227,0.9112,0.5508,0.3426,0.7692,0.3955,1.1216,15832,9570
test12,1,2,0.2929,0.1715,0.9897,0.1719,0.0597,0.1736,0.8264,4.6969,37980,6595
test12,2,2,0.4489,0.2894,0.9666,0.2923,0.0824,0.2167,0.6976,3.563,27056,8182
test12,3,2,0.5597,0.3886,0.9315,0.4001,0.1584,0.4336,0.5705,2.9793,20824,8944
