Subject,Time point,Reference,Dice,Jaccard,PPV,TPR,LFPR,LTPR,VD,SD,Manual Volume,Segmentation Volume
test01,1,1,0.7897,0.6524,0.8864,0.712,0.3023,0.6712,0.1968,0.8643,12450,10000
test01,2,1,0.8042,0.6725,0.8692,0.7482,0.2843,0.7564,0.1392,1.0004,12079,10398
test01,3,1,0.7964,0.6616,0.8587,0.7425,0.3426,0.7073,0.1353,0.8349,11580,10013
test01,4,1,0.7834,0.6439,0.895,0.6966,0.2755,0.72,0.2217,1.0056,13209,10281
test01,1,2,0.6791,0.5142,0.9498,0.5285,0.1047,0.4775,0.4435,1.4092,17971,10000
test01,2,2,0.814,0.6864,0.8955,0.7462,0.0588,0.5319,0.1667,1.1154,12478,10398
test01,3,2,0.7764,0.6345,0.8956,0.6852,0.1667,0.4533,0.2349,1.2773,13088,10013
test01,4,2,0.8017,0.669,0.81,0.7934,0.1633,0.5615,0.0205,1.2616,10496,10281
test02,1,1,0.7243,0.5677,0.595,0.9252,0.493,0.9306,0.5549,0.9841,22645,35210
test02,2,1,0.769,0.6247,0.6463,0.9493,0.5223,0.9497,0.4688,1.007,23152,34006
test02,3,1,0.7689,0.6245,0.6461,0.9492,0.4911,0.9533,0.4692,0.9228,21864,32123
test02,4,1,0.7903,0.6533,0.6793,0.9447,0.5021,0.9658,0.3908,0.9564,23122,32158
test02,5,1,0.792,0.6557,0.6923,0.9253,0.488,0.8976,0.3365,0.9738,22808,30483
test02,1,2,0.7525,0.6032,0.9252,0.6341,0.1502,0.5979,0.3147,0.8766,51376,35210
test02,2,2,0.7969,0.6624,0.8946,0.7185,0.1336,0.4503,0.1969,0.8239,42341,34006
test02,3,2,0.7781,0.6368,0.8933,0.6892,0.0893,0.5112,0.2284,0.9498,41631,32123
test02,4,2,0.7633,0.6173,0.914,0.6553,0.1079,0.4598,0.2831,1.0357,44856,32158
test02,5,2,0.7072,0.547,0.9639,0.5585,0.108,0.3858,0.4206,1.179,52614,30483
test03,1,1,0.6152,0.4442,0.8919,0.4695,0.2308,0.6944,0.4736,1.9355,11146,5867
test03,2,1,0.6254,0.4549,0.9285,0.4714,0.2963,0.7667,0.4923,1.7422,12180,6184
test03,3,1,0.597,0.4255,0.9313,0.4393,0.4138,0.6875,0.5284,2.3459,12291,5797
